Prepared by make_fb_optgeo_target.py
1450_C20H26N4O : Cc1cc(nc(c1C#N)[N@]2CC[C@]3(C2)CCCN(C3=O)CC4CC4)C-5 molecule_id 12212503 | SUCCESS
1484_C16H18N6 : Cc1ccc(cc1)N/N=C(/C#N)\c2nnc3n2CCCCC3-5 molecule_id 12214692 | SUCCESS
1485_C19FH17N4O : Cc1c(nn(n1)c2ccccc2)C(=O)N3CCCc4c3cc(cc4)F-3 molecule_id 12214735 | SUCCESS
1486_BrC13Cl3H6N4 : c1cc(ccc1/C=N\Nc2c(c(c(c(n2)Cl)C#N)Cl)Cl)Br-4 molecule_id 12214777 | SUCCESS
1487_C8ClH4NO2 : c1cc(c(cc1C#N)C(=O)O)Cl-0 molecule_id 12214807 | SUCCESS
1488_C16H15NOS : Cc1cccc(c1)C(=O)N2CCSc3c2cccc3-5 molecule_id 12214821 | SUCCESS
1489_C11ClH8NO4S2 : c1cc2c(cc1NS(=O)(=O)c3ccc(s3)Cl)OCO2-10 molecule_id 12214837 | SUCCESS
1490_C13H24N2O2 : CC(C)(C)OC(=O)N1CCNCC12CCCC2-5 molecule_id 12214872 | SUCCESS
1491_C11ClH8NO4S2 : c1cc2c(cc1NS(=O)(=O)c3ccc(s3)Cl)OCO2-9 molecule_id 12214920 | SUCCESS
1492_C20H26N4O : Cc1cc(nc(c1C#N)[N@]2CC[C@]3(C2)CCCN(C3=O)CC4CC4)C-15 molecule_id 12214968 | ERROR: Unable to make OFFMol from OEMol: OEMol has unspecified stereochemistry. oemol.GetTitle(): 
Problematic atoms are:
Atom atomic num: 7, name: N3, idx: 22, aromatic: False, chiral: True with bonds:
bond order: 1, chiral: False to atom atomic num: 6, name: C6, idx: 5, aromatic: True, chiral: False
bond order: 1, chiral: False to atom atomic num: 6, name: C14, idx: 13, aromatic: False, chiral: False
bond order: 1, chiral: False to atom atomic num: 6, name: C15, idx: 14, aromatic: False, chiral: False

1493_BrC8H9N2O2 : COc1ccc(cc1/C(=N/O)/N)Br-1 molecule_id 12215021 | SUCCESS
1494_C13Cl2H8O2S : c1cc(ccc1Sc2ccc(cc2C(=O)O)Cl)Cl-9 molecule_id 12215055 | SUCCESS
1495_BrC9F2H6NO : c1c(c(cc(c1F)Br)F)OCCC#N-3 molecule_id 12215075 | SUCCESS
1496_C12ClH9N4O : Cc1nc(c(o1)N/N=C\c2cccc(c2)Cl)C#N-1 molecule_id 12215100 | SUCCESS
1497_C16H15NO6S : Cc1ccc(c(c1)S(=O)(=O)[N@@]2CCOc3c2cccc3C(=O)O)O-12 molecule_id 12215130 | SUCCESS
1498_C16H18N6 : Cc1ccc(cc1)N/N=C(/C#N)\c2nnc3n2CCCCC3-6 molecule_id 12215178 | SUCCESS
1499_C20H26N4O : Cc1cc(nc(c1C#N)[N@]2CC[C@]3(C2)CCCN(C3=O)CC4CC4)C-7 molecule_id 12215245 | SUCCESS
